	SYMBOL	FDR	FC	avg.CDK4_inhib	avg.Untreated	NAME
KfRU0Ge5.lR6HXgiqs	GNA11	0.622332110365808	-1.13	102.58	115.82	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
61JLrT2EGAtMWyAI6Y	RPL23	0.622332110365808	-1.16	1735.13	2018.39	ribosomal protein L23
TNbXvR0stElEp0JR1E	NA	0.622332110365808	-1.12	79.57	89.39	NA
NjAVAgFC3giFejirUU	FKBP3	0.622332110365808	-1.14	162.34	185.79	FK506 binding protein 3, 25kDa
EckuyNPUjS6qKkXSQU	VPS11	0.622332110365808	1.12	87.06	77.53	vacuolar protein sorting 11 homolog (S. cerevisiae)
um0iUnihKfl6H3sIyg	ACKR3	0.622332110365808	1.22	444.57	364.37	atypical chemokine receptor 3
6.oeiCoppqYJkbYmqg	PAIP2	0.622332110365808	-1.13	102.35	115.44	poly(A) binding protein interacting protein 2
Ke39X1FRLwUoDXlN1k	PROSER3	0.622332110365808	1.14	99.73	87.79	proline and serine rich 3
64oQjFCkBXI_qyKgCo	XPA	0.622332110365808	1.14	122.03	107.34	xeroderma pigmentosum, complementation group A
rSXVW1UE5N0d6u3638	FSCN1	0.622366922668043	1.14	2852.9	2512.73	fascin actin-bundling protein 1
rSAUC1V7leoq6pbcPw	FARP2	0.622368876253646	-1.13	95.47	107.86	FERM, RhoGEF and pleckstrin domain protein 2
QNB1VClYiueTFGxSJQ	NARF	0.622373041974847	-1.12	190.22	212.21	nuclear prelamin A recognition factor
EojoLJTkgJ4Tjukojc	LOC646836	0.622603622578235	-1.13	83.11	93.69	uncharacterized LOC646836
9jx.6iqBSyvihKIqCo	AOC3	0.622690220143906	1.15	78.75	68.56	amine oxidase, copper containing 3
cHld_65PgIIjiA44Ao	NQO1	0.623342556866573	1.13	106.36	93.88	NAD(P)H dehydrogenase, quinone 1
69QJLwVB1wQT.aqN4U	CCBL2	0.623359274475057	-1.14	149.55	171.02	cysteine conjugate-beta lyase 2
EhehkilbTemjinCDfs	VIMP	0.623359274475057	1.16	404.39	349.79	VCP-interacting membrane selenoprotein
NVSwSOVvnfqev1XgRc	NA	0.623588151386679	-1.16	76.65	88.68	NA
NpQJE5KdevvXdAXueE	FBN2	0.62394632770606	1.17	404.73	346.24	fibrillin 2
KUOUF05oGqWHGe.E0E	DHPS	0.62394632770606	1.12	310.38	277	deoxyhypusine synthase
Z1oSoqVNFgNeDjxyFA	PP7080	0.623989637347734	1.14	208.32	182.83	uncharacterized LOC25845
3n2ldr.T0pRXnTpX14	WBSCR16	0.623989637347734	1.14	174.19	152.18	Williams-Beuren syndrome chromosome region 16
01BXNAw4H3SIpN6rXo	TMEM154	0.624148313093929	1.14	107.81	94.21	transmembrane protein 154
3eq4qEnx1P4Uj7_nBE	STAMBP	0.624321282885025	-1.14	395.07	448.81	STAM binding protein
37Tose4HahXionvoyo	NA	0.624326791757745	-1.13	69.32	78.18	NA
QCWSYU.SMW1ElKFniA	CHST10	0.62441731527357	-1.13	75.66	85.66	carbohydrate sulfotransferase 10
cjXXcl6l3d0l6Spedc	NA	0.624471701121531	1.14	99.21	86.9	NA
6VRx9bwV9U_0I7lGrk	ADCK1	0.624471701121531	1.12	107.74	96.12	aarF domain containing kinase 1
ip0d0fgiqN_u_yx_h4	GRPEL2	0.624533155198848	-1.14	241.74	274.67	GrpE-like 2, mitochondrial (E. coli)
3ST_IKd56t1Ouqt3Rc	TOM1L2	0.624538056243497	-1.12	79.97	89.33	target of myb1 like 2 membrane trafficking protein
xSfUAF5AUmfXiGqUmg	SFSWAP	0.624538056243497	-1.12	204.42	229.6	splicing factor, suppressor of white-apricot family
fRHj2H97qfIo4oIXHo	CTH	0.624583134687533	1.13	69.34	61.28	cystathionine gamma-lyase
HfpDRJWSBTTu6SCXio	USP22	0.624658085557461	-1.14	111.52	126.66	ubiquitin specific peptidase 22
oLe2p4rek3ECXfpbvc	ABLIM1	0.624658085557461	1.12	94.04	83.88	actin binding LIM protein 1
QPaUq92d06TedIXkS0	NA	0.624695908610139	1.15	377.7	329.04	NA
ljus_d4oUpKKB3EF4s	SEC22A	0.624695908610139	1.15	305.48	266.72	SEC22 homolog A, vesicle trafficking protein
oR4gZeUn1U5XR_v7v8	EBF3	0.624695908610139	-1.14	163.39	185.85	early B-cell factor 3
6OjTeJdKK_KeS4nuHk	EIF2AK4	0.624695908610139	-1.14	135.99	154.35	eukaryotic translation initiation factor 2 alpha kinase 4
6ILTSNBE9HUEXqzApg	METTL9	0.624695908610139	-1.15	79.24	91.05	methyltransferase like 9
KVdDectXgl.BQGoupE	MAFG	0.624712751718168	-1.15	105	120.5	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog G
0IupFm1MV1mf98_6V8	NA	0.624743041486431	1.16	91.89	79.21	NA
fsnbXR63Eevlg.H7PU	MYH9	0.624915002486082	1.2	3583.86	2986.62	myosin, heavy chain 9, non-muscle
x1V3gW4NIU.Ssgt9Vo	ERP44	0.624926940801874	1.13	107.64	95.63	endoplasmic reticulum protein 44
oX1XeBdeQV4lNKENMU	GBA2	0.624926940801874	-1.14	72.51	82.49	glucosidase, beta (bile acid) 2
TUoXkXWU32kln6gJ9I	NA	0.62566350189415	-1.12	84.25	94.13	NA
6XB_cI5yssYV3o.oKQ	SMARCAD1	0.625775655503938	-1.15	95.48	110.25	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
oUgenoAgobrqCJCKv8	SEC11C	0.625775655503938	1.13	1210.88	1069.01	SEC11 homolog C, signal peptidase complex subunit
Q5L55.sSK8eQwKC6PQ	SLC12A2	0.625830762120317	-1.14	113.43	129.47	solute carrier family 12 (sodium/potassium/chloride transporter), member 2
K3Rnjp_kiRfa8H5N1I	REXO2	0.625838463640408	1.12	1969.93	1755.37	RNA exonuclease 2
fjlAn2f5SyDWgD2ggk	TFPI2	0.625916284793254	-1.29	876.72	1133.12	tissue factor pathway inhibitor 2
x1X2eA_fP.rvoyKMqI	DPYD	0.625952351085373	-1.13	155.22	175.37	dihydropyrimidine dehydrogenase
ZX2o0e1VN9bvIkC4Is	LIMA1	0.626012349853137	1.18	680.37	576.45	LIM domain and actin binding 1
xsk3bRlJHZdXFDh0Xg	BCAT2	0.626012349853137	1.14	253.44	222.88	branched chain amino-acid transaminase 2, mitochondrial
l8AV9V7UNR2WVUX4Mk	ZBTB39	0.626012349853137	1.12	114.76	102.2	zinc finger and BTB domain containing 39
TZlzWRt9HAoNVDveZY	UQCRQ	0.62621047033035	1.13	4407.16	3890.67	ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa
fKCOX_eVDmCvOqKGYo	NA	0.626219523169537	1.13	175.66	155.7	NA
EiF5P8JUne3kfnuz6E	NA	0.626221578996707	1.13	86.45	76.53	NA
Tf6QkorhHI6e4O41nQ	NPC1	0.626238150261075	-1.17	458.8	535	Niemann-Pick disease, type C1
oiCV3tNSSCuh6dHmCM	NA	0.626238150261075	1.13	78	69.22	NA
HqqKvhP9YeXvG5Quf8	NA	0.626454004637196	-1.13	90.18	101.9	NA
ZfkpA1QukghVbV3SJQ	ACCS	0.626454004637196	1.16	75.21	65.04	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)
HALNpamR6fGXsNUkf4	EID2B	0.626454004637196	1.15	2007.18	1745.21	EP300 interacting inhibitor of differentiation 2B
T1XStB0KyEu6YeiK2o	NA	0.626454004637196	1.13	86.29	76.42	NA
ooApFSKCkiADSKKJrc	KRCC1	0.626454004637196	1.14	270.54	236.87	lysine-rich coiled-coil 1
TCdddJ.ie6eUVOqd18	ATP5D	0.626454004637196	1.15	382.11	332.74	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
T1eXBX9e3ZfoJFTt1c	NA	0.626454004637196	1.13	146.62	130.24	NA
i.1X2t9RJLPPt.ui_E	OXR1	0.626454004637196	1.12	511.89	457.28	oxidation resistance 1
f0KH150SVhgKOUDe0I	RPL38	0.626538230006742	-1.13	5543.46	6241.78	ribosomal protein L38
9KKuqV6OH9SXfQeH50	AAMP	0.626538230006742	1.13	261.68	231.79	angio-associated, migratory cell protein
