	SYMBOL	FDR	FC	avg.CDK4_inhib	avg.Untreated	NAME
iTtHHqiu9edyfUY4pk	PRC1	2.90287296731794e-12	-9.34	145.58	1360.34	protein regulator of cytokinesis 1
HClLklAJJdNRQpNZ4I	CDC20	5.34280877785165e-12	-17.15	99.44	1705.5	cell division cycle 20
iKKgVb_bmVB1QukAKA	KIAA0101	7.79033780643097e-12	-14.77	64.98	960.15	KIAA0101
3oz7S38qvqejlisAvc	TYMS	3.17365112840781e-11	-11.12	182.64	2031.06	thymidylate synthetase
Zn2Iv_F5eCJFI_RN1U	PTTG3P	3.17365112840781e-11	-11.63	124.66	1449.74	pituitary tumor-transforming 3, pseudogene
irp0SIKOkjrklBDnhY	GINS2	3.95307516453413e-11	-6.82	71.19	485.57	GINS complex subunit 2 (Psf2 homolog)
NRBiFzZZNtCuhcC9Vk	AURKB	7.01414724546644e-11	-11.03	46.35	511.18	aurora kinase B
ooKJT36B6GH3gB6KGI	CDCA3	7.01414724546644e-11	-9.29	60.87	565.41	cell division cycle associated 3
NjXGdGm9V.HQN6l.6Q	KIF20A	7.01414724546644e-11	-10.04	76.65	769.27	kinesin family member 20A
0nu9VB3veZGASze.ik	CEP55	7.01414724546644e-11	-11.05	67.04	741.02	centrosomal protein 55kDa
BngJ4o2iQv3oZHz9XU	CDC45	7.01414724546644e-11	-13.21	65.65	867.11	cell division cycle 45
x.Sd_F7Vd6eXeLeDdU	TOP2A	7.01414724546644e-11	-17.48	86.47	1511.35	topoisomerase (DNA) II alpha
lekrQ59WhGjR.7ePUk	MCM7	7.01414724546644e-11	-9.05	203.56	1841.95	minichromosome maintenance complex component 7
rSTjV0ngdAJbQIX5dU	CCNB2	7.65858791397555e-11	-8.14	70.75	576	cyclin B2
Wg57u3taRVrKXj6v3I	AURKA	7.80162508352687e-11	-9.11	133.43	1215.96	aurora kinase A
ojLV_BETnlid6ABVEk	UBE2C	8.73131149945912e-11	-16.17	129.68	2097.04	ubiquitin-conjugating enzyme E2C
rr5wo6ngnqt6F9DQJc	PTTG1	8.73131149945912e-11	-7.15	150.02	1072.28	pituitary tumor-transforming 1
3ZI6Kh14TJSee4DDoI	CDKN3	9.9524621718127e-11	-8.63	81.5	703	cyclin-dependent kinase inhibitor 3
6V04FQT4y1fgRE55Yk	UBE2C	1.19148439069315e-10	-12.65	141.33	1787.41	ubiquitin-conjugating enzyme E2C
WSemIeyVXVHVEdHfkg	CENPM	1.88614052136179e-10	-8.48	67.64	573.61	centromere protein M
QkXgJ9dhN7wwJbKV_0	BIRC5	1.95562420362583e-10	-5.65	93.11	526.06	baculoviral IAP repeat containing 5
EdRTqDUN75LdfQk97Y	PTTG1	2.98490147420466e-10	-7.39	234.35	1731.02	pituitary tumor-transforming 1
BSXeHuXs3VA91HY9R4	TPX2	3.7180405223972e-10	-6.56	106.26	696.55	TPX2, microtubule-associated
ccp.nyzTtTv19F0uic	NUSAP1	4.79457767450755e-10	-8.21	70.89	582.1	nucleolar and spindle associated protein 1
Z_vKOUXQgeweInSC4k	FANCI	9.05848349263831e-10	-5.15	46.87	241.34	Fanconi anemia, complementation group I
lazqZV5PnqO.eVGv_8	TRIP13	1.00921389365079e-09	-6.1	313.61	1913.19	thyroid hormone receptor interactor 13
fgbdYtXQd3Gf5dQrgU	KIFC1	1.13875438957691e-09	-7.57	59.28	448.63	kinesin family member C1
lokghwIgYonhSjeYYU	TACC3	1.5087045149118e-09	-6.13	61.69	377.9	transforming, acidic coiled-coil containing protein 3
Th3rxI_343fo3XSN.o	PBK	1.56558364807817e-09	-11.49	51.05	586.63	PDZ binding kinase
96iFFSE3hw6d7lEdQg	KIF11	1.75140664803513e-09	-5.46	77.23	421.75	kinesin family member 11
igFXtVLSIwTUHB1IJo	EXO1	1.97125818359138e-09	-6.42	52.22	335.03	exonuclease 1
lV.9_MUdNRu9ePtRP0	RAD51AP1	2.04437783484705e-09	-4.61	107.66	496.75	RAD51 associated protein 1
N4TSXn31Xeaf0eeL94	TK1	2.06848141490272e-09	-5.56	123.07	683.82	thymidine kinase 1, soluble
HLhL9JyhgSiu0h54JY	NCAPG	2.06848141490272e-09	-9.74	84.01	818.45	non-SMC condensin I complex, subunit G
uOq6EEW0haiFKknfRI	HJURP	2.06848141490272e-09	-7.15	53.15	380.01	Holliday junction recognition protein
o.fSL_0zHn7TeTtx0k	HMMR	2.26609413530203e-09	-10.12	57.77	584.75	hyaluronan-mediated motility receptor (RHAMM)
Hu16j3eVXeLIu_6jAo	RRM2	3.78772544584221e-09	-6.35	55.87	354.95	ribonucleotide reductase M2
f0gC47oTKKQ7uIfqr0	ANLN	4.40507620806768e-09	-8.64	60.6	523.56	anillin actin binding protein
3ieeV36bi_bPSnn.nk	MCM2	5.15090846241896e-09	-4.62	75.59	348.9	minichromosome maintenance complex component 2
xX7dOhfRSFxdAkUSTk	CCNA2	5.93423653114417e-09	-5.64	121.75	686.8	cyclin A2
QLR0VHu.euUKd_KlUc	FAM64A	5.95624444354998e-09	-5.49	58.34	320.3	family with sequence similarity 64, member A
clyu1_J4FkeCB37XR4	CDCA5	6.71348999733872e-09	-6.13	130.16	797.97	cell division cycle associated 5
lLkJVIh77K_f.fXXqQ	CKAP2L	6.71348999733872e-09	-5.44	66.13	359.87	cytoskeleton associated protein 2-like
T1.KDnu7e1pFWspePo	AURKA	8.45056978520856e-09	-9.25	108.71	1005.97	aurora kinase A
6e.BIM4nt7T8XH39Uc	NEK2	1.12072263065055e-08	-4.85	64.18	311.1	NIMA-related kinase 2
lo7qXyXUrUhxx3O91I	KIF4A	1.17294878073059e-08	-4.62	50.89	234.97	kinesin family member 4A
9jpCddAlL7AMrVeXrE	FBXO5	1.18650021049272e-08	-5.91	128.69	760.83	F-box protein 5
6W70h16.fUp8S6E00k	FAM83D	1.25406308355221e-08	-7.15	63.75	455.55	family with sequence similarity 83, member D
NLdHHg5Rffj0UrcB5I	DLGAP5	1.40737563126857e-08	-6.18	53.87	333.13	discs, large (Drosophila) homolog-associated protein 5
xp6k.U0zIXeV9Isl0U	CENPA	1.73757630192287e-08	-6.04	51.31	309.7	centromere protein A
umjOoR8Axx_nVCNijg	PCNA	1.77614102351261e-08	-4.75	275.88	1309.44	proliferating cell nuclear antigen
BiXUgqHpd5URfh9LP0	CDT1	1.84360974017545e-08	-3.64	47.17	171.9	chromatin licensing and DNA replication factor 1
lKKIuwl4K3.yCn10.o	BUB1	2.25609210294411e-08	-6.19	58.72	363.62	BUB1 mitotic checkpoint serine/threonine kinase
rUvfXhFo6ufqBb_JfM	UHRF1	2.32476005573085e-08	-4.74	260.93	1236.04	ubiquitin-like with PHD and ring finger domains 1
Z95JJ6aHY50CKHmXWI	CENPM	2.94331783956851e-08	-3.63	52.7	191.47	centromere protein M
Q9G111OeKZDEWferSg	CENPN	3.34374627383119e-08	-4.05	120.53	488.11	centromere protein N
TXCeLuFUglGO53s1IE	CKS1B	3.56461837890747e-08	-4.37	226.44	989.16	CDC28 protein kinase regulatory subunit 1B
9V8od6z.43pBTP3oL4	KIF11	4.13573447226487e-08	-6	66.1	396.55	kinesin family member 11
rhAoEPAenj.pflIn.o	CDK1	5.01781004644939e-08	-3.82	48.14	183.97	cyclin-dependent kinase 1
xWRvd5Vv35VLuv5Pt0	STMN1	6.07059705056716e-08	-4.71	95.15	447.77	stathmin 1
lRA1XkJz0Drjoxn6T0	ASPM	7.39252433462942e-08	-4.61	119.13	549.18	abnormal spindle microtubule assembly
ouCelRFzQJVedx7heg	CENPM	7.73593870336907e-08	-3.26	82.3	268.27	centromere protein M
QL7MM5_wKeKuJ7N6OU	MCM10	7.73593870336907e-08	-4.35	84.44	367.09	minichromosome maintenance 10 replication initiation factor
6yzOVwBtKpkd7On2mk	HIST1H4C	7.83191944091387e-08	-4.4	1447.62	6363.45	histone cluster 1, H4c
fXQ4KtUJW1W99UWM.U	RNASEH2A	7.83191944091387e-08	-3.93	109.73	430.93	ribonuclease H2, subunit A
NH1MoTHk7CULTog3nk	CCNB1	8.21615765936566e-08	-5.17	99.89	516.37	cyclin B1
ihHkgFeJICKX3o6UBU	CDC25C	8.4549350806787e-08	-3.41	40.41	137.71	cell division cycle 25C
HXfUJXm1JibRJEF5AA	LMNB2	8.6100384081822e-08	-3.48	611.67	2127.66	lamin B2
TqCLahRL88UPeKC1l8	MAD2L1	8.69128499767225e-08	-4.09	160.58	656.44	MAD2 mitotic arrest deficient-like 1 (yeast)
0nunX1weqf34Tsr5_s	CCNE2	9.34388482019009e-08	-4.31	59.96	258.56	cyclin E2
BH7oTTo_3BFNEtXp0o	FANCD2	9.34388482019009e-08	-3.38	66.54	224.99	Fanconi anemia, complementation group D2
QXnojsD_U4fXooSSTo	ZWINT	9.90904422282814e-08	-4.27	78.92	337.25	ZW10 interacting kinetochore protein
0d83FzheYnlRRVS__Y	GTSE1	1.02997816732388e-07	-3.59	59.29	213.09	G-2 and S-phase expressed 1
o7h_frpdPU7uXuXqk4	CDCA8	1.15261464159514e-07	-4.01	88.88	356.86	cell division cycle associated 8
l1KHvzJ76Chyt9XJVU	NA	1.26989667068331e-07	-3.39	56.02	190.05	NA
cUuKnkp9ciu5zFObe0	CENPF	1.31892448161219e-07	-4.12	79.99	329.61	centromere protein F, 350/400kDa
ZqR1Qw4LulILoN.Eoc	CDK1	1.40381425254117e-07	-5.42	107.73	584.16	cyclin-dependent kinase 1
uSOJIqHG4_F6IKnRJE	GINS4	1.46592523739579e-07	-3.66	52.81	193.17	GINS complex subunit 4 (Sld5 homolog)
xoUv41Px71hTCfTeW4	PRIM1	1.46592523739579e-07	-3.52	91.51	322.17	primase, DNA, polypeptide 1 (49kDa)
BI90n1UokIXeJWUJmk	MCM7	1.47434910258802e-07	-3.87	48.69	188.35	minichromosome maintenance complex component 7
0ofRQkgMVokZTUQrnk	MCM5	1.8631587108134e-07	-3.35	120.07	402.01	minichromosome maintenance complex component 5
ie.vTY8kgi1KEBn7mI	CENPW	1.8631587108134e-07	-4.21	119.53	502.73	centromere protein W
cNV8JUhN76heFVrT68	TRMT5	2.55376273239728e-07	-2.92	824.24	2404.62	tRNA methyltransferase 5
9r8Uo7LVHviiTc.Krw	SMC4	2.95279775350455e-07	-4.38	275.41	1205.74	structural maintenance of chromosomes 4
BAZH7.TkomqQsK_JeE	RFC5	3.45581760067449e-07	-3.37	152.15	512.09	replication factor C (activator 1) 5, 36.5kDa
rXg2T3ceh3pefoiukk	PSRC1	3.68387040059586e-07	-4.39	68.39	300.04	proline/serine-rich coiled-coil 1
Z46PfU15aOLuruMSXE	MELK	3.68387040059586e-07	-3.93	168.31	661.4	maternal embryonic leucine zipper kinase
QI4q05JB0nbQ0HU47o	RFC4	3.68387040059586e-07	-4.68	153.59	719.38	replication factor C (activator 1) 4, 37kDa
xNS4iDi.l33566LJI4	DLGAP5	3.79199288290419e-07	-3.91	76.37	298.94	discs, large (Drosophila) homolog-associated protein 5
xij3cugh0gPpG7ngoE	GMNN	4.33185461980125e-07	-4.1	95.12	390.33	geminin, DNA replication inhibitor
BU6gOUeyttjF3p4KPk	TMPO	4.33185461980125e-07	-3.31	55.21	182.75	thymopoietin
0eL0eWt7fWJ5ve1_04	PKMYT1	4.75761852091799e-07	-3.28	80.39	263.68	protein kinase, membrane associated tyrosine/threonine 1
H5KWLx3fVAo7kHpWig	CENPA	4.90499178902516e-07	-3.05	51.89	158.28	centromere protein A
9PSIoIJiqRpniEieiM	NUPR1	4.94813036132737e-07	4.17	824.45	197.87	nuclear protein, transcriptional regulator, 1
ECgp1eTtefnkZROrus	MCM4	5.40448494791831e-07	-3.29	172.94	569.34	minichromosome maintenance complex component 4
3p3cVJyBF9SEfnoSc0	DNAJC9	5.41622896955233e-07	-3.76	246.39	926.24	DnaJ (Hsp40) homolog, subfamily C, member 9
ioJIoIo4AO5S4n4tfo	NDC80	5.41622896955233e-07	-3.98	84.03	334.09	NDC80 kinetochore complex component
fSkKO5eLkAdLIdd.tE	CENPE	5.55927079023711e-07	-3.25	50.05	162.8	centromere protein E, 312kDa
0p.q69Q_uiIJ3ikbTk	MCM3	5.562765844631e-07	-3.9	453.02	1765.07	minichromosome maintenance complex component 3
BX8NUpN76heFXLT68U	NA	6.06972099061383e-07	-2.88	600.92	1728.03	NA
u2q4gVCb6B7IVte2Hs	CCNF	6.17759431523968e-07	-4.11	124.34	511.38	cyclin F
Ey6v5_K6wp.noV75KQ	RRM1	6.38669975305575e-07	-3.37	628.4	2117.13	ribonucleotide reductase M1
l.eSZlGKOlRCSNxx2g	CKS2	6.44666926504347e-07	-3.56	236.93	843.89	CDC28 protein kinase regulatory subunit 2
Nnp0VyCVB1B3lH9xCQ	PRR11	7.6535719772589e-07	-3.06	58.13	177.77	proline rich 11
TnRCUz6Vjy6x7eHRu4	TMEM97	7.67629877111579e-07	-3.48	203.06	707.25	transmembrane protein 97
HfpVTFVBftS6JUH3Ao	RACGAP1	7.79560186539247e-07	-4.36	156.89	684.3	Rac GTPase activating protein 1
cUiuQDkokiLuj3SUrU	CENPE	7.79560186539247e-07	-3.17	106.64	338.31	centromere protein E, 312kDa
rjki1Tu13jcC_Tr63g	OIP5	7.79560186539247e-07	-2.84	116.77	331.52	Opa interacting protein 5
NlJfXQg5SEuhIgk5CE	UBE2T	7.79560186539247e-07	-4.36	123.91	539.95	ubiquitin-conjugating enzyme E2T
Q5K_yf.jqcdMS8j.Ek	HMGB2	7.79560186539247e-07	-4.03	118.43	477.13	high mobility group box 2
xR6PiCkDT1OkuAoa2E	TEX30	7.79560186539247e-07	-3	151.89	456.36	testis expressed 30
uUlHrBT33HezlTitD4	KIF20B	7.79560186539247e-07	-4.19	101.73	426.02	kinesin family member 20B
Zx0glDBOEonqHr_BEo	ZWINT	8.02521992430248e-07	-3.04	54.79	166.71	ZW10 interacting kinetochore protein
Teq_16d6oiIaJfyxJw	KIF2C	8.25752973454475e-07	-4.5	58.82	264.78	kinesin family member 2C
ZRdR7js7WdXbe9VSjc	MAPK8IP3	8.45469084115948e-07	2.71	527.57	194.62	mitogen-activated protein kinase 8 interacting protein 3
xjqRejB0o6qedECFE0	SKA1	8.61156917688842e-07	-3.2	72.68	232.73	spindle and kinetochore associated complex subunit 1
NkogIvQMRu1kSZYjXo	CLIC3	8.85630023437682e-07	3.11	325.07	104.68	chloride intracellular channel 3
r_7v.Xrn0Im7kqQuW0	CBX2	1.0127375121834e-06	-3.27	89.32	291.67	chromobox homolog 2
6UKFA16L3VB.Io6Aqk	SKA3	1.09044130553054e-06	-2.63	58.65	154.45	spindle and kinetochore associated complex subunit 3
3oeDevdd_xFXQVzkl4	SUV39H1	1.22139597729292e-06	-3.41	112.34	383.12	suppressor of variegation 3-9 homolog 1 (Drosophila)
0vlRHut8sjD_rrHgkU	LRR1	1.27608257323744e-06	-3.02	137.01	413.19	leucine rich repeat protein 1
rl8FeoDl55VS4d_v20	HSPB7	1.33822935109544e-06	2.84	357.43	125.95	heat shock 27kDa protein family, member 7 (cardiovascular)
6_RziXMhzS9X_po__8	HPRT1	1.37522028315376e-06	-2.55	772.74	1969.33	hypoxanthine phosphoribosyltransferase 1
Tp9JH1.ru.XtUuC_gU	MCM6	1.37522028315376e-06	-3.16	332.16	1047.98	minichromosome maintenance complex component 6
3s68ERxQO7fyMle164	NA	1.42580495541587e-06	-3.19	295.42	942.3	NA
6UigNhN1ExNiSJawUU	DDX39A	1.47544182496126e-06	-4.04	320.24	1292.59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A
i13nKFKuP0JSoJB6hU	ASF1B	1.79137401092652e-06	-3.84	96.78	371.91	anti-silencing function 1B histone chaperone
iEf0jCK7_eo6CBxek4	PARPBP	2.01851099303979e-06	-3.79	78.41	297.16	PARP1 binding protein
ioJTIPnetAFCRFMl8E	DTL	2.08301288204661e-06	-3.41	80.82	275.7	denticleless E3 ubiquitin protein ligase homolog (Drosophila)
HyCkilpI0fiVKL6IUg	SPC24	2.09430061965556e-06	-3.82	108.33	413.92	SPC24, NDC80 kinetochore complex component
6aaey6nd9dfUW4VQXc	NA	2.41017920304541e-06	-3.29	367.67	1208.87	NA
f6fRp6c7oSQi2.2aCU	NA	2.54644889259472e-06	-3.32	216.47	719.57	NA
iFenouojznUse.1Gno	PRIM1	2.54644889259472e-06	-2.83	106.79	302.31	primase, DNA, polypeptide 1 (49kDa)
WjXKC3vXtdXuSrNeyo	NCAPD2	2.59039357331243e-06	-4.1	117.79	483.24	non-SMC condensin I complex, subunit D2
QWAC6aAJyCd3a4KKIU	RANBP1	2.59039357331243e-06	-2.68	861.84	2309.54	RAN binding protein 1
NSo6d.lOrfP9Fd.3sI	NEMP1	2.67030132778353e-06	-3.26	94.5	308.09	nuclear envelope integral membrane protein 1
KS6gKUVyAgtZ6RUygo	KRT81	2.67030132778353e-06	3.37	537.17	159.35	keratin 81, type II
6fU3p5HUKVXe1.0gRM	PAQR4	2.73540082807138e-06	-2.86	123.95	354.03	progestin and adipoQ receptor family member IV
lo1eNU.13htRdcVTKI	CDK2	2.89965310090185e-06	-3.18	168.23	535.28	cyclin-dependent kinase 2
HuWssSMFXTAjnzcF1U	FAM111A	3.10079634893973e-06	-3.71	164.47	609.91	family with sequence similarity 111, member A
E9l1w1clHOYjh19BF8	NA	3.10079634893973e-06	-2.73	610.97	1665.4	NA
oHcEntS7649S6Hs3e4	H2AFZ	3.38678661232561e-06	-2.71	2550.6	6909.94	H2A histone family, member Z
TRPIdFYoP8ASXM5UqU	DEPDC1	3.56308890862939e-06	-3.63	79.23	287.69	DEP domain containing 1
0KUU9efjqneP5350Lo	LOXL4	3.61496430817896e-06	3.73	652.84	174.88	lysyl oxidase-like 4
KpRe1Fu6lue7XztPsM	MXD4	3.93472655652881e-06	2.9	763.36	262.85	MAX dimerization protein 4
cYOko5Xu.T1L6955VU	TROAP	4.00424019653891e-06	-3.37	83.86	282.37	trophinin associated protein
0lKn23BEASUtrHyUXg	GPSM2	4.03233284573755e-06	-2.78	111.38	309.73	G-protein signaling modulator 2
ELoiQH2KGxXoorrTpI	SAC3D1	4.09409737989758e-06	-2.58	325.78	839.06	SAC3 domain containing 1
ZFEkCv09KI99TepBes	MCM10	4.12333584870275e-06	-2.44	51.81	126.43	minichromosome maintenance 10 replication initiation factor
9UEi3Ker08Tj04lIFE	CKS2	4.40831481129139e-06	-4.49	396.41	1781.8	CDC28 protein kinase regulatory subunit 2
HSjhDStOu3ipNN9dN4	MCM3	4.53514210847344e-06	-2.59	159.44	412.19	minichromosome maintenance complex component 3
liCOpICeiVei_nu3u8	FEN1	4.63913564698878e-06	-3.61	232.59	840.37	flap structure-specific endonuclease 1
EWhqR6mHuXZ4oAMHAQ	NA	4.94699180955923e-06	-2.79	489.77	1364.07	NA
lgUgXRN_e9aZUcVCAU	CKS1B	5.25706999481133e-06	-3.7	323.28	1195.05	CDC28 protein kinase regulatory subunit 1B
0tLSQHUQKdfgvboKew	RFC3	5.29961861661237e-06	-2.67	64.03	170.63	replication factor C (activator 1) 3, 38kDa
TWl6.Zetu384kU7CXU	E2F2	5.29961861661237e-06	-2.56	75.72	193.62	E2F transcription factor 2
9d5S3L96kr9e7Sz1V0	CDCA7	5.29961861661237e-06	-2.74	100.07	274.05	cell division cycle associated 7
rvRNLp.s5Aznu_hehk	NETO2	5.53519942811382e-06	-3.51	85.33	299.78	neuropilin (NRP) and tolloid (TLL)-like 2
Qu_z0gAaoio58PpXpk	POLA1	5.53519942811382e-06	-2.99	84.63	253.06	polymerase (DNA directed), alpha 1, catalytic subunit
otOuuTt5AVJx2op4JI	GPR1	5.76102744158858e-06	2.52	741.09	294.32	G protein-coupled receptor 1
oUtFATk2m7TCNTRJ5A	BRIX1	6.50805148048097e-06	-2.68	352.64	944.76	BRX1, biogenesis of ribosomes
of0kyHwdXwlSE3viF4	HMGN2	6.6345544801719e-06	-2.7	1027.2	2774.88	high mobility group nucleosomal binding domain 2
9K5eeNRXBVi3kdBiik	NA	6.71353411398595e-06	-2.9	241.81	700.16	NA
rS4tdXpNduAuREfToo	CHAF1B	6.71353411398595e-06	-2.7	71.12	191.79	chromatin assembly factor 1, subunit B (p60)
xp.pD390lxFdH77o04	ATAD2	6.71353411398595e-06	-3.22	89.02	286.98	ATPase family, AAA domain containing 2
WlF1W79QtJ.XkIIDXo	FOXM1	6.87408417831796e-06	-2.58	107.05	276.09	forkhead box M1
xSQiOjLn01JQIrYLr0	NA	7.54675421629132e-06	-2.8	483.48	1355.05	NA
ukAuCSgIKlekpQSnQI	HMGB2	7.98918185462936e-06	-3.57	122.23	436.37	high mobility group box 2
cSU3eS93S5KS99d0p4	TTF2	8.01303131503536e-06	-3.03	82.14	248.79	transcription termination factor, RNA polymerase II
iFJ9Ac7AKH0ULypdeo	MCM8	8.21105443201687e-06	-2.5	73.61	183.81	minichromosome maintenance 8 homologous recombination repair factor
9jhKTJepM0XT6wKnIk	MCM4	8.21105443201687e-06	-2.35	130.21	306.26	minichromosome maintenance complex component 4
iC1q.du6ZxfeaKhjjg	UHRF1	8.92044994421245e-06	-2.24	45.15	100.98	ubiquitin-like with PHD and ring finger domains 1
ES97kTH.Qx1WGgiQq4	CENPU	9.28042077074292e-06	-2.77	63.28	175.21	centromere protein U
lcqie_JfS7eTuoLqdc	MEG3	1.00446264972357e-05	2.97	1822.99	613.92	maternally expressed 3 (non-protein coding)
uJtXqdzWYrlLJu5KxM	SAPCD2	1.13844578524704e-05	-2.42	75.67	182.96	suppressor APC domain containing 2
fl9KnnaLRe_g6HAKFc	MXD3	1.17062379014177e-05	-2.65	63.11	167.26	MAX dimerization protein 3
6VSPfSfjXorf9y3ifc	HMMR	1.19499284185144e-05	-3.54	164.75	583.8	hyaluronan-mediated motility receptor (RHAMM)
9p9edCEWPWcT1FQRFI	RBBP8	1.19897240153312e-05	-2.59	259.69	673.7	retinoblastoma binding protein 8
BepQfvreD3XB1P_Ank	TTK	1.20648833049971e-05	-3.42	105.6	361.27	TTK protein kinase
6H7A4Pgm0oUVl6UbmY	CHAF1A	1.29960927625259e-05	-2.16	71.09	153.8	chromatin assembly factor 1, subunit A (p150)
xQkV1dytSoc0SCCSk4	FAM111A	1.34521027446349e-05	-3.05	73.87	225.27	family with sequence similarity 111, member A
HRPf.670yffdMSuUhE	CCP110	1.34727972843381e-05	-2.44	147.1	358.54	centriolar coiled coil protein 110kDa
lWP3EEcSJHv5NVNdCE	MNS1	1.34727972843381e-05	-2.7	79.7	214.96	meiosis-specific nuclear structural 1
KblNiOibpB9ooJ9kr0	HNRNPM	1.39010831210334e-05	-2.29	393.9	900.88	heterogeneous nuclear ribonucleoprotein M
KSN0K_Muu9HKIboPiE	SAP30	1.39010831210334e-05	-2.92	187.75	548.83	Sin3A-associated protein, 30kDa
olIMw7kpDbo7d4QLu0	DEK	1.39090757015154e-05	-2.96	345.14	1020.8	DEK proto-oncogene
ECU0Xo5cbqCoXYO6hU	MEG3	1.45910608126941e-05	3.31	550.79	166.45	maternally expressed 3 (non-protein coding)
ZP9i4KFaJYBFrKJqis	SMC4	1.46820122671328e-05	-3	69.44	208.28	structural maintenance of chromosomes 4
QQ3z1iT1LB..uzsfJ4	PTMA	1.48751312812596e-05	-2.35	231.83	545.43	prothymosin, alpha
le9Y.l3iBjdUg6CiYo	RANBP1	1.49716981885573e-05	-2.84	425.41	1206.7	RAN binding protein 1
xQuQTe05LxzsKlI94U	C4orf46	1.54603381743532e-05	-2.23	74.3	165.56	chromosome 4 open reading frame 46
KVQiQgkvf4oL6jIho4	PSMC3IP	1.55122228999584e-05	-2.31	51.51	118.9	PSMC3 interacting protein
iQCSjjBTNVUudNAsoQ	MND1	1.55733116134161e-05	-2.54	46.63	118.22	meiotic nuclear divisions 1
ipUX0u7gHYLn60Xg_8	DDIAS	1.55733116134161e-05	-2.66	91.19	242.1	DNA damage-induced apoptosis suppressor
ZrASDeuPOrCCF691PU	NA	1.55733116134161e-05	-2.76	95.19	262.44	NA
EnrersnfIoKIyoAqnU	RAD54L	1.55733116134161e-05	-2.4	70.38	168.62	RAD54-like (S. cerevisiae)
Ek9TyQi_xVdVLfZfXc	PSAT1	1.71074817621441e-05	2.6	1042.53	400.82	phosphoserine aminotransferase 1
ogNB0uoTJST.5MUr6k	DUT	1.7825661665126e-05	-2.21	135.27	298.32	deoxyuridine triphosphatase
WbrbqLsSlFVQrggeC8	FBL	1.92349371719563e-05	-2.31	386.14	891.31	fibrillarin
0255UKEyUJ61sAVP44	NA	2.01172583395568e-05	-3.2	155.04	495.87	NA
rBVAPRekS0fRC_3Fl4	CSE1L	2.01172583395568e-05	-2.55	572.04	1459.37	CSE1 chromosome segregation 1-like (yeast)
B2oL_Xpy4CtB7I54J4	MSH6	2.05912962603047e-05	-2.17	343.52	745.92	mutS homolog 6
6p_X8jaueM_Xv1yw6k	MMD	2.12452684203955e-05	-2.99	100.23	299.72	monocyte to macrophage differentiation-associated
TUQBQrpzpr1LJJLIzs	NA	2.12452684203955e-05	-2.29	860.36	1974.01	NA
uU2TOod_UtfhPtqf9A	NA	2.14602528359986e-05	-3	139.62	418.88	NA
HNSh78ye_gocrfVyVU	BRCA1	2.14602528359986e-05	-2.52	84.33	212.36	breast cancer 1, early onset
BSeoXozSTRkQVCZACU	KIF23	2.19384594552048e-05	-2.93	97.58	286.39	kinesin family member 23
9Vj517sCOX7bkgEDp4	SRSF2	2.24138054465291e-05	-2.16	1069.16	2313.51	serine/arginine-rich splicing factor 2
WdiMSf.ks66vr.rsE0	STIL	2.34104995608554e-05	-3.27	92.2	301.78	SCL/TAL1 interrupting locus
HoggJAr.qDmCqXT.p4	NUSAP1	2.36970918551769e-05	-3.65	83.27	303.62	nucleolar and spindle associated protein 1
KKAfnSrjDEvKLtKlTo	SMC2	2.3831606897708e-05	-2.58	84.37	217.84	structural maintenance of chromosomes 2
ckKhzgu0jLlXTfipck	SPC25	2.42535271826804e-05	-2.73	89.95	245.45	SPC25, NDC80 kinetochore complex component
BSH4ALru6_He.dlO30	RPL39L	2.42535271826804e-05	-2.61	135.23	352.9	ribosomal protein L39-like
Bk9InECgygLKsu_j3o	FAM72D	2.46974957063455e-05	-2.66	47.78	126.86	family with sequence similarity 72, member D
uR6JSuH11_bi4qRKDc	POC1A	2.48952791028512e-05	-2.33	119.23	278.19	POC1 centriolar protein A
Wc5Ts7lH3iLLA4d.nE	ECT2	2.50580091755343e-05	-3.03	181.46	549.65	epithelial cell transforming 2
3JCI68ufTUlAitguvc	NA	2.58481483803192e-05	-2.38	887.31	2113.6	NA
Z4p96nOrivUOkryJV0	BIRC5	2.71796518068446e-05	-2.42	50.16	121.46	baculoviral IAP repeat containing 5
QckkeqEoOHrV_KK24Q	C14orf80	2.79269808351934e-05	-2.22	48.29	107.26	chromosome 14 open reading frame 80
Nr1NDriRSXg5IJnUs0	CSE1L	2.88318553965834e-05	-2.48	575.8	1430.62	CSE1 chromosome segregation 1-like (yeast)
NFA1Ar3pUX7SKfUV50	THNSL2	2.9994785989401e-05	2.18	401.01	184.33	threonine synthase-like 2
Zzl1f_74R7J0x6ALY0	DHX15	3.14796740217638e-05	-2.66	585.82	1555.42	DEAH (Asp-Glu-Ala-His) box helicase 15
fkuElWlCUXcNd7JDBo	SLC6A9	3.16573239985183e-05	2.11	196.92	93.14	solute carrier family 6 (neurotransmitter transporter, glycine), member 9
ZqSpvyx7dV.FJAXh9E	CMC2	3.20656199920965e-05	-2.31	577.54	1336.89	C-x(9)-C motif containing 2
W7DzRUiKvaSpAt6CnU	BARD1	3.26700365354197e-05	-2.42	71.45	172.73	BRCA1 associated RING domain 1
TK6XR6d90oQcJeetKk	C16orf59	3.44817473173662e-05	-2.45	63.59	155.89	chromosome 16 open reading frame 59
