	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
TlzASPjkbrqBXicsl8	GGPS1	0.0704259020559715	1.45	298.26	432.39	geranylgeranyl diphosphate synthase 1
0tEvV.P0TCVAeMhLBo	SEMA3C	0.0705246057229911	1.53	176.87	270.73	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
WnvYXotJcQZfQWfXk4	VPS28	0.0705263285730606	1.41	270.51	382.16	vacuolar protein sorting 28 homolog (S. cerevisiae)
Tcx1.pUycK019VEquk	NA	0.0705621741931335	-1.48	748.89	505.74	NA
ELoiQH2KGxXoorrTpI	SAC3D1	0.0705621741931335	-1.43	786.29	548.85	SAC3 domain containing 1
xiVH3AtP0VdJXPd.fI	SETD7	0.0705621741931335	-1.43	93.26	65.23	SET domain containing (lysine methyltransferase) 7
oSXq3SVZsaX9GLfQl8	TMSB15B	0.0705621741931335	-1.55	207.29	133.81	thymosin beta 15B
oeWU9eSTRTCS5Ku3U0	AP3M2	0.0705621741931335	-1.46	208.41	142.62	adaptor-related protein complex 3, mu 2 subunit
riklHTo9C16dZd9TSg	MRPS12	0.0705621741931335	-1.46	359.8	246.14	mitochondrial ribosomal protein S12
HMl5.VyOT_7KCzMT9U	RAB18	0.0705621741931335	1.47	114.83	168.37	RAB18, member RAS oncogene family
BJ9SSlSii.1SpN9JJI	SCAMP2	0.0706767904812838	1.48	83.95	124.52	secretory carrier membrane protein 2
KT1LSUEjoKFE31wQgA	CAST	0.0706885525397255	1.52	281.03	428.05	calpastatin
0evfS558c.6wepf36o	LMBRD1	0.0706885525397255	1.55	277.25	429.67	LMBR1 domain containing 1
THwRGKI5RIk26KUXco	MRPL4	0.0709025107949728	-1.47	159.72	108.67	mitochondrial ribosomal protein L4
9SeHSqLEN15QsMgUBU	AZI2	0.071003036355947	1.5	100.87	151.3	5-azacytidine induced 2
ZnlLlNf1SnjnYSsseA	GNL3	0.071003036355947	-1.51	365.52	241.87	guanine nucleotide binding protein-like 3 (nucleolar)
Z40neK5B99Ex7Exe4U	PPP4R1	0.071003036355947	-1.4	637.16	454.93	protein phosphatase 4, regulatory subunit 1
r7fcl_Jd4q0sLgsSMk	LTN1	0.0710735154189997	-1.39	107.31	77.33	listerin E3 ubiquitin protein ligase 1
BKn_Vf97C3fqNe7IJ4	RAB10	0.0712227395231354	1.44	1075.25	1543.68	RAB10, member RAS oncogene family
EFJPTlgXMVPfS5cnsQ	SLC2A10	0.0712227395231354	1.51	279.23	420.52	solute carrier family 2 (facilitated glucose transporter), member 10
il_gAdYjuPnS7PdVSk	MAPKAPK5	0.0712227395231354	1.39	142.86	199.21	mitogen-activated protein kinase-activated protein kinase 5
3nDVLa5ZNVJWWU6WXE	PGAM1	0.0712227395231354	-1.6	1115.78	698.47	phosphoglycerate mutase 1 (brain)
cq56XVSr_X3xo.IYr0	TAX1BP3	0.071500251025662	1.42	632.87	896.27	Tax1 (human T-cell leukemia virus type I) binding protein 3
rfQIiCvgLoCR_AqdVo	XG	0.0715687594540512	1.48	72.34	106.98	Xg blood group
EJ6eR9VUmxKKJGpJ58	DHX30	0.0715892699472688	-1.48	131.44	89.03	DEAH (Asp-Glu-Ala-His) box helicase 30
HuvglUkCgOiCsiiOUQ	ORC6	0.0715892699472688	-1.47	339.68	231.16	origin recognition complex, subunit 6
3JfdKQnsxy8et1HlOU	CDC23	0.0715892699472688	-1.4	414.15	295.76	cell division cycle 23
HBFFlFF1RNXivph7cQ	ATP13A2	0.0717426835818753	1.41	97	136.34	ATPase type 13A2
6jr.Jci_p50mFad11A	NA	0.0717426835818753	1.4	84.4	118.28	NA
fX_a1S1Csp67TLfdHU	WLS	0.0717426835818753	1.47	326.08	478.57	wntless Wnt ligand secretion mediator
QipFKRBhNidxJSxeio	NA	0.0720699213973997	1.41	131.16	185.12	NA
Kbi2l5Tv1O5T98Vfso	LOC81691	0.0721879102623167	-1.44	137.5	95.76	exonuclease NEF-sp
BRfpXAElFKAkloiWhI	SGTA	0.0721879102623167	-1.53	245.69	160.14	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha
6VAoUIjUX0g6E49Kic	PTPN12	0.0723118701928021	1.46	289.55	423.93	protein tyrosine phosphatase, non-receptor type 12
HIIV4VHir__4g_eCUY	ACAD11	0.0723682010065592	1.51	141.24	213.85	acyl-CoA dehydrogenase family, member 11
onSrqIqVanle0ddwR8	SEPN1	0.0724435901376168	-1.52	166.22	109.43	selenoprotein N, 1
TVHvFPvfNU6gkvrxGM	SRSF3	0.072772039467538	-1.44	513.26	356.28	serine/arginine-rich splicing factor 3
ulC0Eu3eq6TX_R4D8Q	TMEM170A	0.0729047493553848	-1.42	125.22	87.93	transmembrane protein 170A
Wje_nHHp916e8Akjro	POTEF	0.0730025752208827	1.46	68.39	100	POTE ankyrin domain family, member F
0eV7n7qeQurdQwuvU4	P4HA2	0.0730025752208827	1.56	1204.77	1881.1	prolyl 4-hydroxylase, alpha polypeptide II
