	SYMBOL	RAE.GENE	Chr12q
488	CBX7	0.096	
489	CXCR2	NA	
490	CTNNAL1	-1	
491	ARHGEF15	-1	
492	NA	NA	
493	NOC3L	-1	
494	MARCKSL1	0.075	
495	DDR1	NA	
496	KCTD5	0.053	
497	PMEPA1	-1	
498	BUB3	-1	
499	TRIM22	-1	
500	TATDN2	-1	
501	IL17RA	0.07	
502	DCLRE1C	0.07	
503	RCBTB2	-1	
504	IL1R2	-1	
505	GABARAPL1	0.102	
506	THBS1	0.086	
507	CYB5A	0.064	
508	H3F3B	-1	
509	PCDH9	0.128	
510	PPT1	0.086	
511	PLAGL1	0.175	
512	FAH	0.048	
513	KLHL9	-1	
514	KLF4	-1	
515	SLC39A6	0.053	
516	PPBP	0.043	
517	PEX11B	0.112	
518	CALCRL	-1	
519	TRIM32	0.118	
520	C10orf137	0.032	
521	CHPF	-1	
522	CD55	0.112	
523	NR4A1	-1	
524	NSF	-1	
525	MAFF	0.102	
526	MT1H	0.07	
527	FSCN1	0.123	
528	GADD45B	0.107	
529	NA	NA	
530	GMNN	-1	
531	EVL	0.112	
532	PNISR	NA	
533	F2R	0.07	
534	RNF10	0.134	
535	CBX6	-1	
536	MT2A	0.07	
537	LDLR	-1	
538	MT1X	0.07	
539	RBBP7	NA	
540	ORC5	NA	
541	TRIM27	NA	
542	RDH5	-1	
543	MTF2	-1	
544	EHD1	0.08	
545	FDFT1	0.08	
546	HADH	0.043	
547	ATF5	-1	
548	UBE2D3	0.043	
549	SYNGR1	-1	
550	B4GALT7	0.091	
551	OAS1	-1	
552	NOTCH2	-1	
553	MAGED1	NA	
554	GNPDA1	0.08	
555	H3F3B	-1	
556	ISCA1	-1	
557	NFU1	-1	
558	CEP63	0.043	
559	BTN2A1	-1	
560	GORASP2	0.053	
561	RP1-302G2.5	NA	
562	SEPT6	NA	
563	MAP3K5	-1	
564	NADK	-1	
565	EPAS1	-1	
566	KLF2	-1	
567	ZNF430	0.096	
568	EPAS1	-1	
569	FERMT2	0.107	
570	SAA1	0.128	
571	ARHGEF6	NA	
572	SMAD2	-1	
573	CAP2	0.086	
574	ABHD10	-1	
575	MOCS1	-1	
576	TBL2	0.07	
577	NDUFB4	NA	
578	ACO1	0.128	
579	HIST1H2AC	-1	
580	OS9	0.79	
581	IGF2	-1	
582	DCAF7	NA	
583	ELMO2	0.128	
584	GADD45B	0.107	
585	TIA1	-1	
586	PHLDB1	0.193	
587	APOD	0.096	
588	CASKIN2	-1	
589	IFFO1	-1	
590	TRAF5	-1	
591	GORASP2	0.053	
592	ATP5C1	-1	
593	MYC	-1	
594	COLGALT1	NA	
595	DIDO1	0.171	
596	PDHX	0.118	
597	CKAP4	-1	
598	GYG2	NA	
599	CAND1	0.294	X
600	ELMO2	0.128	
601	FHL1	NA	
602	LY86	0.048	
603	TACC2	0.027	
604	FAM149A	0.075	
605	EIF5	-1	
606	POM121C	-1	
607	FAM107A	0.086	
608	PKP4	-1	
609	SLC25A37	0.096	
610	SPTBN1	-1	
611	CTIF	NA	
612	ADRA2A	0.037	
613	TEFM	NA	
614	VIM	0.064	
615	CNOT2	0.626	X
616	RFC3	-1	
617	CDV3	0.07	
618	PDE2A	0.107	
619	TRAPPC11	NA	
620	ACAT1	0.176	
621	RARRES3	-1	
622	HEBP2	-1	
623	UBE2C	0.123	
624	GADD45B	0.107	
625	NDUFB8	-1	
626	NA	NA	
627	FBXW4	0.053	
628	GDF15	0.102	
629	LDHB	-1	
630	SUN2	NA	
631	RBM4B	-1	
632	ERP44	0.112	
633	CCDC69	-1	
634	IDO1	0.091	
635	CHD1L	0.15	
636	GTF2E1	-1	
637	GPX3	-1	
638	IRS2	0.134	
639	LUC7L3	NA	
640	DLEU2L	0.102	
641	MTMR12	-1	
642	SRP72	-1	
643	AGPAT2	-1	
644	TRA2B	0.075	
645	RRAGC	-1	
646	FAS	-1	
647	PRKAG2	-1	
648	PDIA4	0.075	
649	MAN2A1	0.053	
650	TKT	0.091	
651	MTSS1	0.096	
652	IL18RAP	-1	
653	GGH	0.112	
654	GPR116	-1	
655	CTIF	NA	
656	NMB	-1	
657	SLC35B1	0.048	
658	FKBP10	-1	
659	PPP1R15A	0.107	
660	MT1X	0.07	
661	TNS1	-1	
662	ADIRF	NA	
663	LSS	0.086	
664	SELP	-1	
665	GABARAPL1	0.102	
666	ITPR1	-1	
667	NNMT	0.166	
668	AVPI1	0.059	
669	SQLE	0.096	
670	HBG2	0.107	
671	KDELR2	0.128	
672	PTEN	0.037	
673	CAMSAP1	-1	
674	NMRK1	NA	
675	NOTCH2NL	-1	
676	SKP1	-1	
677	CHST10	0.075	
678	LSM5	0.123	
679	NIPSNAP3B	-1	
680	PPP2R5A	0.123	
681	XPNPEP1	-1	
682	RDX	0.171	
683	C19orf10	-1	
684	BMP6	-1	
685	ST13	0.118	
686	ITGB4	-1	
687	PYCR1	NA	
688	MT1M	0.07	
689	CHPF2	NA	
690	MTHFD1	0.096	
691	HSBP1	-1	
692	SHMT2	0.241	
693	PDZD2	-1	
694	CDK5RAP3	-1	
695	SART3	-1	
696	CAST	-1	
697	C3orf14	-1	
698	OPTN	0.064	
699	ATF7IP2	0.064	
700	FASTK	0.08	
701	ZFAND5	-1	
702	CD320	-1	
703	PNISR	NA	
704	ENOPH1	-1	
705	ATP5G3	0.043	
706	SERF2	-1	
707	SLAMF8	0.193	
708	GNAI1	-1	
709	FAM107A	0.086	
710	OLFML2B	0.203	
711	SLC1A4	0.053	
712	ITGB1BP1	-1	
713	HSPB7	-1	
714	GABARAPL3	NA	
715	DDR1	NA	
716	TIA1	-1	
717	KNTC1	-1	
718	OAS1	-1	
719	VEGFA	-1	
720	ACOX1	-1	
721	SNAI2	0.134	
722	GPD1	0.08	
723	DNAJA1	0.128	
724	MAN1B1	0.07	
725	PTCD3	0.053	
726	MARC2	NA	
727	PIM1	-1	
728	FHL1	NA	
729	C6	-1	
730	GDPD5	0.096	
731	DNAJB12	0.059	
732	ACSM5	0.043	
733	C10orf10	-1	
734	GLT8D1	-1	
735	RNF19B	-1	
736	NA	NA	
737	C3orf37	0.08	
738	FAM134B	-1	
739	GRB10	-1	
740	MAFF	0.102	
741	GLIPR1	0.31	
742	AC159540.1	NA	
743	MARK1	0.134	
744	ACSM5	0.043	
745	NFKBIA	0.08	
746	CCNB2	-1	
747	SPAG9	-1	
748	TJP2	-1	
749	GPC4	NA	
750	ACP2	-1	
751	VCAN	0.053	
752	RBM5	-1	
753	LARS2	-1	
754	RALGDS	-1	
755	TUBB6	-1	
756	FERMT2	0.107	
757	SUZ12	-1	
758	FCGBP	-1	
759	VTI1B	0.091	
760	VCAN	0.053	
761	ANAPC15	NA	
762	SUGP2	NA	
763	COL5A2	0.043	
764	RAD17	NA	
765	PSMA4	-1	
766	OSBPL1A	-1	
767	NR3C1	-1	
768	ZNF24	-1	
769	MSRB1	NA	
770	RANBP9	0.07	
771	VAV3	-1	
772	DDR1	NA	
773	UVRAG	0.107	
774	ABCD1	NA	
775	ALCAM	-1	
776	CYP26B1	-1	
777	ATP13A1	-1	
778	PSMB1	0.064	
779	FHL1	NA	
780	NDRG2	-1	
781	KLF6	0.075	
782	UBA7	-1	
783	HDAC3	0.08	
784	NA	NA	
785	ACOX1	-1	
786	NSUN5	0.07	
787	CLSTN1	0.075	
788	DDB2	-1	
789	ERBB2	-1	
790	TRIM27	NA	
791	MBD4	-1	
792	SLCO4A1	-1	
793	RMDN3	NA	
794	ASS1	-1	
795	RMI1	0.107	
796	C6orf106	0.086	
797	RERGL	0.08	
798	SMARCC1	-1	
799	ZKSCAN4	-1	
800	BNIP3	0.043	
801	RARRES2	-1	
802	NAGA	-1	
803	ADIPOR2	0.096	
804	ING1	0.144	
805	VCAN	0.053	
806	NA	NA	
807	TF	0.043	
808	KDM6B	NA	
809	NA	NA	
810	NA	NA	
811	NA	NA	
812	CCND2	0.086	
813	ATP5S	0.107	
814	ARIH2	0.134	
815	HNRNPDL	NA	
816	BTN2A2	-1	
817	TREM1	-1	
818	RBPMS	0.096	
819	ITSN1	-1	
820	IARS	0.123	
821	ZNF146	-1	
822	MCAM	0.166	
823	MYBL1	0.128	
824	WLS	NA	
825	FIS1	-1	
826	CFLAR	0.075	
827	EML3	0.086	
828	NA	NA	
829	ATXN10	-1	
830	KDELR3	-1	
831	RGCC	NA	
832	CXCL1	0.043	
833	C1QA	0.075	
834	LSM12	0.086	
835	ATAD2B	-1	
836	GON4L	0.176	
837	SMC1A	NA	
838	KIAA0040	NA	
839	SHC2	0.112	
840	PTEN	0.037	
841	NSUN5	0.07	
842	PRR5	0.091	
843	AHCYL1	0.053	
844	FAS	-1	
845	CALD1	0.07	
846	ATP10D	-1	
847	NA	NA	
848	CSF1R	0.07	
849	PELI2	0.08	
850	MMRN2	0.043	
851	GSS	0.123	
852	AASDHPPT	-1	
853	NOTCH1	-1	
854	POM121C	-1	
855	GPC4	NA	
856	TNS1	-1	
857	RNF19B	-1	
858	BTG2	0.118	
859	LRRC32	0.107	
860	HSPA1B	NA	
861	KANK1	0.15	
862	NPL	0.086	
863	NA	NA	
864	SRSF7	NA	
865	ETS2	-1	
866	KRBOX4	NA	
867	ITPR1	-1	
868	TMEM97	0.043	
869	DCN	0.264	
870	GYG2	NA	
871	NA	NA	
872	NA	NA	
873	MICALL2	0.118	
874	GSN	-1	
875	PLD3	-1	
876	SEC61A1	-1	
877	C1QB	0.075	
878	ORC6	NA	
879	NUCB2	-1	
880	NAMPT	-1	
881	TRAM1	0.128	
882	RNMT	0.053	
883	ERP29	-1	
884	RBM12	0.123	
885	TRIM38	-1	
886	SLC2A10	0.128	
887	MCM4	0.128	
888	NA	NA	
889	CHP1	NA	
890	GANAB	-1	
891	C1orf63	0.075	
892	CNOT2	0.626	X
893	ITGB5	0.064	
894	ABCC5	-1	
895	NADK	-1	
896	MTF2	-1	
897	SOX9	0.08	
898	PARVA	0.128	
899	GDPD5	0.096	
900	THYN1	0.15	
901	NFATC2IP	-1	
902	COL4A5	NA	
903	H2AFZ	-1	
904	NA	NA	
905	BCL2L13	0.102	
906	CCND1	-1	
907	CGGBP1	0.059	
908	UBE2D2	0.075	
909	MAPT	0.064	
910	CDC42EP4	-1	
911	NNMT	0.166	
912	TRIM14	0.107	
913	NUPL2	0.128	
914	BAG1	0.128	
915	P4HA1	-1	
916	CCL5	-1	
917	BTN3A2	-1	
918	DUSP1	-1	
919	ADH1B	0.037	
920	DCLK1	-1	
921	ATG4A	NA	
922	CDC25B	-1	
923	TMPO	-1	
924	CXorf21	NA	
925	CSF3R	-1	
926	SAT1	NA	
927	GPRC5A	0.102	
928	PSMD11	0.086	
929	ZNF322	NA	
930	AC159540.2	NA	
931	BAX	-1	
932	FRY	0.128	
933	NCKAP1L	0.128	
934	F8	NA	
935	CPED1	NA	
936	CWC25	NA	
937	PPP2R3A	0.059	
938	EFS	-1	
939	PLXNA1	-1	
940	RAMP3	-1	
941	DARC	-1	
942	TIMELESS	0.112	
943	TJP1	0.075	
944	ANAPC5	-1	
945	SIGLEC1	-1	
946	GPX4	0.112	
947	GPR56	0.07	
948	BCR	0.086	
949	UBAP1	0.15	
950	DMXL2	-1	
951	BMPR2	0.075	
952	NA	NA	
953	BTN3A3	-1	
954	SEC23B	0.064	
955	RANBP9	0.07	
956	PSMD10	NA	
957	NA	NA	
958	TACC1	-1	
959	ANXA1	-1	
960	POLR3B	-1	
961	S100A9	-1	
962	POLR2G	-1	
963	CCL5	-1	
964	KLF9	-1	
965	NFKB1	0.043	
966	COQ10B	0.064	
967	THOC2	NA	
968	AXL	0.091	
969	IDS	NA	
970	KDELR2	0.128	
971	SERPINB1	-1	
972	MAP1LC3B	0.086	
973	TMEM184B	0.102	
974	PRG4	0.091	
975	KRT10	-1	
976	PITPNC1	-1	
977	TUBB	NA	
978	FASTK	0.08	
979	EIF3I	-1	
980	KCNJ15	-1	
981	AIF1	NA	
982	RCL1	0.112	
983	MAP7D1	-1	
984	CSE1L	0.128	
985	SOCS2	-1	
986	BLNK	-1	
987	FMO2	-1	
988	UBAP1	0.15	
989	VEGFA	-1	
990	UBA7	-1	
991	GPX3	-1	
992	FKBP15	0.096	
993	ZFP36	0.08	
994	SGSM3	-1	
995	PSMD12	-1	
996	SUCLG1	-1	
997	IGF2	-1	
998	CDC37	-1	
999	CD93	-1	
1000	ABLIM1	0.032	
1001	PDE3B	0.123	
1002	SORD	-1	
1003	ARPC5	0.096	
1004	LIPE	0.091	
1005	POLR2E	0.112	
1006	PELI1	-1	
1007	NINJ2	0.128	
1008	GSTM4	0.053	
1009	MBD2	-1	
1010	MYH11	-1	
1011	FEM1B	-1	
1012	ABCC10	0.075	
1013	TIPRL	0.182	
1014	LGR4	0.128	
1015	NUDC	-1	
1016	KAZALD1	-1	
1017	DPY19L1	0.107	
1018	POT1	0.08	
1019	LRRC8D	-1	
1020	CAND1	0.294	X
1021	MEG3	0.107	
1022	IL13RA1	NA	
1023	PRKRA	0.043	
1024	CDKN1C	0.128	
1025	NR4A2	-1	
1026	ATP5S	0.107	
1027	DYRK2	0.513	X
1028	JAM3	-1	
1029	ALPK3	-1	
1030	NA	NA	
1031	PCBP1	-1	
1032	DENR	-1	
1033	HNRNPDL	NA	
1034	CEBPD	-1	
1035	LAMP2	NA	
1036	ST5	-1	
1037	ATP1B1	0.203	
1038	RGL1	0.091	
1039	TPP1	-1	
1040	VCP	0.118	
1041	PRKCD	0.091	
1042	CA4	-1	
1043	NSFL1C	0.07	
1044	RPA2	0.075	
1045	PPP1R1A	-1	
1046	IFFO1	-1	
1047	CLMN	0.07	
1048	RPN2	0.134	
1049	CDH11	-1	
1050	CDKN1C	0.128	
1051	RPS29	-1	
1052	PSMB10	-1	
1053	LHX6	-1	
1054	MAP2K3	-1	
1055	ABLIM1	0.032	
1056	CLIC5	-1	
1057	APOBEC3G	-1	
1058	BTN2A1	-1	
1059	KCTD7	0.075	
1060	GDF11	0.134	
1061	NA	NA	
1062	MARCKS	0.15	
1063	GINS1	0.08	
1064	AQP7	0.123	
1065	RPN1	-1	
1066	AASS	-1	
1067	SPSB1	-1	
1068	PNMA2	-1	
1069	UBE2L6	-1	
1070	APOBEC3A	0.144	
1071	PDXK	-1	
1072	SUMO2	0.075	
1073	DAB2	0.15	
1074	NA	NA	
1075	CALR	0.096	
1076	FOSL2	-1	
1077	MOCS1	-1	
1078	CRIP2	-1	
1079	DNTTIP2	0.059	
1080	ODC1	-1	
1081	PDXK	-1	
1082	MED17	-1	
1083	HAGH	0.048	
1084	BAX	-1	
1085	SLC1A4	0.053	
1086	VPS33B	0.053	
1087	NA	NA	
1088	PTGS2	0.091	
1089	POLB	0.096	
1090	SLCO2B1	-1	
1091	SMARCAL1	-1	
1092	ETF1	-1	
1093	GAP43	-1	
1094	FAM149A	0.075	
1095	ID3	-1	
1096	UBE2D3	0.043	
1097	NA	NA	
1098	ACADL	-1	
1099	NOLC1	0.053	
1100	NA	NA	
1101	GRPEL1	-1	
1102	KDM4A	NA	
1103	HNRNPM	-1	
1104	CDK10	-1	
1105	CCL2	0.053	
1106	TRIP10	-1	
1107	STAT5B	0.08	
1108	ZNF512B	0.155	
1109	SHMT2	0.241	
1110	ITPK1	0.064	
1111	BMP1	-1	
1112	RPL26L1	0.107	
1113	ELL2	-1	
1114	COPB2	-1	
1115	SLC11A2	-1	
1116	CFLAR	0.075	
1117	NA	NA	
1118	CEBPB	-1	
1119	ADAMTS9	0.086	
1120	APOM	NA	
1121	WNT5A	-1	
1122	MCF2L	0.123	
1123	AC005013.5	NA	
1124	DCTN6	0.102	
1125	G0S2	0.123	
1126	RBPMS	0.096	
1127	NUP62	-1	
1128	FCGR1B	0.053	
1129	DYNLT1	0.107	
1130	NR4A2	-1	
1131	PIP4K2A	-1	
1132	SHOC2	0.032	
1133	TMEM176A	0.08	
1134	NOL8	0.118	
1135	PTRF	0.08	
1136	EIF4EBP2	0.037	
