	FDR	FC	NF	WD
TFF3	2.57492200683881e-08	-39.4139941003839	370.223795462143	8.40516879525621
AXL	2.57492200683881e-08	-3.33410659090347	9214.78706561933	2833.44564366722
APOD	2.57492200683881e-08	-5.86589535398705	36822.0798269975	6164.45076023835
IGF2	7.25860829502856e-08	5.76485623122018	13227.7837638662	76395.450126579
CD55	1.76665320749907e-07	-4.60214294016806	20161.8710191293	4713.18982025602
CLDN2	7.56928731339709e-07	-8.29788286045423	278.431095762881	29.9267714535578
ECM1	8.85280973223491e-07	-4.56155227217893	4360.117131818	1025.28514010619
KLHDC8A	9.79422097154763e-07	58.8490024749214	5.02045539101993	196.093176521411
CCT2	1.72855037870904e-06	9.03817824514967	12860.8200665858	97647.3764294243
METTL1	1.85019735289027e-06	9.10563596706791	1477.10474742896	14025.7120029452
TSFM	3.81701316835755e-06	9.0719708791571	1770.25193395564	15726.5259640715
RAB3IP	5.52722879260173e-06	19.6673720373923	528.980539995261	6056.00890951853
ACVR1C	7.30344874348865e-06	-10.3259916931236	3242.5466725503	251.4987288428
PDGFRL	8.2342861676116e-06	-3.22954219247368	6094.06747089619	1917.6358469787
FRS2	1.59923080338063e-05	8.78780846958536	3449.43642282897	25545.3876374289
CACNA1I	1.59923080338063e-05	23.9923181896442	51.3371265873718	975.856311946481
TNXB	1.59923080338063e-05	-3.22740088068486	46512.2002971886	14801.1926722698
CXCR7	1.97150328356811e-05	-2.98226143282252	19957.0722663523	6482.46479965058
CAMK2B	1.97150328356811e-05	57.9260117035152	18.371667350754	568.728169507917
GINS2	2.32659607953974e-05	5.12005342562362	47.4165064137566	271.822891786103
AQP5	2.39965914929122e-05	34.7414613642065	13.0900092659472	201.783389362572
GPM6A	3.38212476300502e-05	-13.8051081160767	204.59227233353	20.675770219989
FBLN2	5.99101714133034e-05	-3.3393562171043	67361.0866550431	19489.8046144026
HELLS	5.99825911536155e-05	4.10880304404555	195.075552125776	818.85934740363
HAS1	6.10779857788578e-05	-31.1758882215324	4370.66362122517	266.438716561384
CCND2	6.10779857788578e-05	2.87174594716647	5248.592761915	14317.756076473
REN	7.14453857827975e-05	139.173448994984	0	84.3211185501603
RIMS4	8.52748263729156e-05	8.20352115346552	122.846465700229	1287.12810011599
B4GALT1	8.52748263729156e-05	-2.94850957410683	21156.7754207638	7627.12620955441
NDRG1	8.80192977528203e-05	-3.20116358285355	49917.0209469831	16051.4103066114
FMOD	8.80192977528203e-05	-3.35000630166509	26203.7260751931	7900.87537062389
CYP2W1	8.80192977528203e-05	22.1185685569388	4.80794029359194	73.6242851984036
FGFR4	9.36158289007411e-05	5.44537089097028	66.3519852883776	376.921226778015
ZNF793	0.000110880268234795	3.27895970888281	306.408390367571	1012.99169827948
FRMPD3	0.00011099008082058	12.4697820923911	21.8008918295504	420.818487886517
CDCA7	0.00011099008082058	4.28037091763825	117.478984906137	502.885662196804
SALL1	0.00011099008082058	50.5729875885818	0	256.872431497675
DOK7	0.00011099008082058	38.9596289884795	8.85246368989198	145.577481754848
ZNF404	0.000121097461459203	3.25090012155974	220.060937984638	702.535483053229
TMC3	0.000122345645905332	25.8221423129278	7.83719679337505	137.61963388317
BEST3	0.000138002264075194	459.312090544298	0	131.108266801675
PLOD2	0.000167600058811017	-3.55718019785746	12111.9940277629	3477.01066590942
ITGA11	0.000170999821846009	-5.77657129016438	3092.92641368703	498.380918478503
IP6K3	0.000170999821846009	65.082773389285	21.4564735319167	321.117214063638
LRP10	0.000186041754626021	-2.07649256249135	18368.3451450612	8849.17828200878
IRX2	0.000222745629084392	-24.0916620435993	217.048696111461	15.50529876557
TOX2	0.000233199700880281	2.79810624402762	355.791534712886	970.032958144064
ZNF711	0.000244152573419885	5.12773526704956	288.262629305715	1785.42130680543
CCDC88A	0.000244152573419885	1.9851555782143	3338.55501134581	6650.4755616208
CXCL1	0.000244152573419885	-52.4245708972613	1748.09456438103	102.557431055444
SLC17A8	0.000247310653255752	189.915045151873	0	65.662663889753
TSPAN31	0.000247310653255752	7.75040165434576	5307.8330954884	44749.6453264025
TPST1	0.000247310653255752	-2.06481344233975	3164.15289506922	1541.60510285414
GRHL1	0.00028110496942365	-5.60612833153915	1570.86630538613	299.360505875114
SLITRK1	0.000288224639843084	33.5018810708614	0	75.7461113735211
CYP27B1	0.000333113277577829	8.78067366754649	208.071270950882	1993.07803138086
CCBE1	0.000333113277577829	-17.9376723197871	108.609159636379	6.88141645866841
IL11RA	0.000334796979767236	3.26801112310703	3369.43925037065	11707.8109802894
COL22A1	0.000338562086089921	53.5304491151598	20.3228787121848	945.103003427473
SLC4A3	0.000338562086089921	4.88334627040522	546.825029749269	2552.31126338035
MDM2	0.000338562086089921	9.26200789688916	7031.48665144773	80041.7726074615
LRG1	0.000340223818293252	-14.1883353223627	2364.46799569796	238.135575395414
EXTL1	0.000340223818293252	19.5408702960085	16.8133925837956	232.196166009619
WNT2	0.000395660763676226	-10.4088457621565	708.80490766763	84.5858936362628
KCNK12	0.000395660763676226	22.4882383109089	3.13571546614721	46.5416534846437
STXBP6	0.000406381855365745	-3.37579123500135	829.039475624849	246.33881412977
CPSF6	0.000440319893940327	6.92601449417022	5877.26561073523	29789.1855947319
ZMAT3	0.000440943035401983	3.10044862858656	1659.13260485595	5189.48966987268
SERPING1	0.000444897828329957	-2.51239758325881	65091.6101105565	25528.4850746532
GAS2	0.000495210822932508	6.13432479306084	48.8570567328705	232.371366350097
GRB14	0.000495210822932508	5.45942429488822	293.322981749751	1168.45877737892
KBTBD10	0.000495210822932508	545.174166623781	33.9085473730756	542.501760892757
TYMS	0.000511731820600601	4.0845182121174	307.286548168187	1415.80116216066
IGF2BP2	0.000511731820600601	3.93670654835854	1440.48596523202	5039.37038946451
TIGD1	0.000527100675068596	3.82071001805104	108.071685286433	417.628034008964
PTPRT	0.000537484166600453	5.9112063040584	106.10064217213	582.643221713144
MCM4	0.000563671586923732	2.11733445195019	1303.26056246132	2818.81598498203
STRA6	0.00063669799409815	5.26973258866521	15.5994863532908	79.9969006486143
FNDC1	0.00072122015755811	-10.6643825219422	5125.08796516219	763.091109920802
IER3	0.00072122015755811	-10.0519252895508	9860.33015283073	1615.35513713467
ACHE	0.00077470445245028	10.1270852038652	128.836656586756	1037.27149568721
WDR63	0.00080221047682767	4.73362606614409	20.7881034128637	104.349923706118
ICAM1	0.000810560857907113	-12.2989816873257	20046.3304838371	3093.32133862733
WDR62	0.000810560857907113	5.02178669844421	126.002125991835	538.120224427357
MARCH9	0.000816065002465484	9.15819917607965	1108.11797974604	12874.1554915587
CXCL2	0.000844476184102775	-16.1282167966188	13076.5986965413	1570.01223239524
OSM	0.000844476184102775	-10.2386958660577	1377.91293377863	204.53843485858
ORMDL3	0.000853260318162358	-3.2734412698181	28762.0469447813	8565.90802854824
C2orf66	0.000878768950112076	-10.2021284949275	97.6000350251378	15.2253237976092
HPCAL4	0.000924441873678372	9.71410137917562	18.623329102695	163.725834351404
CSF1	0.000941889063014465	-2.66916595078924	20240.01081408	7926.12181668851
LIF	0.00104966389918601	-12.2669777098895	3906.69878265047	514.659616821335
DUSP26	0.00104966389918601	128.771347566952	5.23520698895712	136.019268235157
RMI2	0.00107761178034521	3.57160044395117	70.7356618350282	260.123986916833
KBTBD11	0.00113017190008319	2.79328678074736	647.708691934247	1833.03939586427
VWCE	0.00113017190008319	3.55015979894399	580.443962679013	1939.04441712499
GFPT2	0.00120912267601462	-5.60455154259645	16511.7468784785	3563.45535557152
ACSL4	0.00121329659057913	-3.21772409795691	10911.5973268568	3862.71070426112
ACSM5	0.00123228893137697	-4.28010535658079	4245.11746986118	797.941079898158
SLC9A2	0.00123228893137697	33.6768099032591	3.23246270163284	51.1110835471544
TNIP1	0.00123228893137697	-2.47064810787413	23579.560136486	9920.87283313589
CDK4	0.00123228893137697	7.71212830097935	4771.79084380377	55668.4205771324
